0 0 0 0
1 1 0 0
2 1 1 0
3 2 1 0
4 3 1 0
5 4 1 0
6 5 1 0
7 6 1 0
8 7 1 0
9 8 1 0
10 9 1 0
11 10 1 0
12 11 1 0
13 12 1 0
14 13 1 0
15 14 1 0
16 15 1 0
17 16 1 0
18 17 1 0
19 18 1 0
20 19 1 0
21 20 1 0
22 21 1 0
23 22 1 0
24 23 1 0
25 24 1 0
26 25 1 0
27 26 1 0
28 26 2 0
29 27 2 0
30 28 2 0
31 29 2 0
32 30 2 0
33 31 2 0
34 32 2 0
35 33 2 0
36 33 3 0
37 33 4 0
38 34 4 0
39 34 5 0
40 35 5 0
41 36 5 0
42 36 6 0
43 36 7 0
44 37 7 0
45 37 8 0
46 38 8 0
47 39 8 0
48 39 9 0
49 40 9 0
50 40 10 0
51 41 10 0
52 42 10 0
53 43 10 0
54 44 10 0
55 45 10 0
55 45 10 0
